주차장명,최대주차가능대수,현재주차대수,주차가능대수,주차비율,최종갱신일시,구,상태,수집기록일시,요일,시간
"반송1, 3동 공영",152,115,37,75.6578947368421,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
삼락재첩거리,126,122,4,96.82539682539682,2026-06-26 16:45:00,사상구,보통,2026-06-26 16:49:56,Friday,16
수변어린이공원,149,72,77,48.322147651006716,2026-06-26 16:45:00,수영구,충분,2026-06-26 16:49:56,Friday,16
장산역 1번,87,65,22,74.71264367816092,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
장산역 2번,104,87,17,83.65384615384616,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
좌1동,68,61,7,89.70588235294117,2026-06-26 16:45:00,해운대구,보통,2026-06-26 16:49:56,Friday,16
노포역,394,394,0,100.0,2026-06-26 16:45:00,금정구,없음,2026-06-26 16:49:56,Friday,16
두산위브 뒤,45,25,20,55.55555555555556,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
대우1차아파트 앞,76,51,25,67.10526315789474,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
부산기계공고 후문,78,75,3,96.15384615384616,2026-06-26 16:45:00,해운대구,보통,2026-06-26 16:49:56,Friday,16
해운대 센텀시티,83,83,0,100.0,2026-06-26 16:45:00,해운대구,없음,2026-06-26 16:49:56,Friday,16
반여도서관 앞,312,146,166,46.794871794871796,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
동대신동,24,24,0,100.0,2026-06-26 16:45:00,서구,없음,2026-06-26 16:49:56,Friday,16
신선3동,84,42,42,50.0,2026-06-26 16:45:00,영도구,충분,2026-06-26 16:49:56,Friday,16
영선대로 지하 공영,122,99,23,81.14754098360656,2026-06-26 16:45:00,영도구,충분,2026-06-26 16:49:56,Friday,16
동백사거리,36,19,17,52.77777777777778,2026-06-26 16:45:00,해운대구,충분,2026-06-26 16:49:56,Friday,16
중동이마트 옆,78,77,1,98.71794871794873,2026-06-26 16:45:00,해운대구,부족,2026-06-26 16:49:56,Friday,16
부산대역(남측),224,146,78,65.17857142857143,2026-06-26 16:45:00,금정구,충분,2026-06-26 16:49:56,Friday,16
부산대역(북측),249,144,105,57.831325301204814,2026-06-26 16:45:00,금정구,충분,2026-06-26 16:49:56,Friday,16
