주차장명,최대주차가능대수,현재주차대수,주차가능대수,주차비율,최종갱신일시,구,상태,전기차충전,위도,경도
"반송1, 3동 공영",152,52,100,34.21052631578947,2026-06-27 17:15:01,해운대구,충분,False,35.2281,129.1527
삼락재첩거리,126,78,48,61.904761904761905,2026-06-27 17:15:01,사상구,충분,False,35.1705,128.9748
수변어린이공원,149,149,0,100.0,2026-06-27 17:15:01,수영구,없음,False,35.1539,129.1256
장산역 1번,87,85,2,97.70114942528735,2026-06-27 17:15:01,해운대구,부족,True,35.1699,129.1769
장산역 2번,104,86,18,82.6923076923077,2026-06-27 17:15:01,해운대구,충분,False,35.1702,129.1765
좌1동,68,52,16,76.47058823529412,2026-06-27 17:15:01,해운대구,충분,False,35.1743,129.1738
노포역,394,373,21,94.67005076142132,2026-06-27 17:15:01,금정구,충분,True,35.2847,129.0949
두산위브 뒤,45,24,21,53.333333333333336,2026-06-27 17:15:01,해운대구,충분,False,35.1598,129.1456
대우1차아파트 앞,76,37,39,48.68421052631579,2026-06-27 17:15:01,해운대구,충분,False,35.1624,129.1481
부산기계공고 후문,78,77,1,98.71794871794873,2026-06-27 17:15:01,해운대구,부족,False,35.1652,129.1578
해운대 센텀시티,83,24,59,28.915662650602407,2026-06-27 17:15:01,해운대구,충분,True,35.1689,129.1309
반여도서관 앞,312,175,137,56.08974358974359,2026-06-27 17:15:01,해운대구,충분,False,35.1983,129.1194
동대신동,24,22,2,91.66666666666666,2026-06-27 17:15:01,서구,부족,False,35.1132,129.0203
신선3동,84,18,66,21.428571428571427,2026-06-27 17:15:01,영도구,충분,False,35.0851,129.0435
영선대로 지하 공영,122,93,29,76.22950819672131,2026-06-27 17:15:01,영도구,충분,False,35.0872,129.0416
동백사거리,36,30,6,83.33333333333334,2026-06-27 17:15:01,해운대구,보통,False,35.1542,129.1518
중동이마트 옆,78,78,0,100.0,2026-06-27 17:15:01,해운대구,없음,False,35.1668,129.1672
부산대역(남측),224,218,6,97.32142857142857,2026-06-27 17:15:01,금정구,보통,True,35.2285,129.0888
부산대역(북측),249,235,14,94.37751004016064,2026-06-27 17:15:01,금정구,충분,True,35.2307,129.0898
화명역,37,33,4,89.1891891891892,2026-06-27 17:15:01,북구,보통,True,35.2363,129.0139
학장천 복개,270,137,133,50.74074074074074,2026-06-27 17:15:01,사상구,충분,False,35.1465,128.9856
수변공원,102,101,1,99.01960784313727,2026-06-27 17:15:01,수영구,부족,True,35.1546,129.127
중동역,167,73,94,43.712574850299404,2026-06-27 17:15:01,해운대구,충분,False,35.1667,129.1673
미포공영,97,95,2,97.9381443298969,2026-06-27 17:15:01,해운대구,부족,False,35.1601,129.1724
온천장역(남측),247,181,66,73.27935222672065,2026-06-27 17:15:01,동래구,충분,True,35.2202,129.0864
구서역,272,161,111,59.19117647058824,2026-06-27 17:15:01,금정구,충분,True,35.2474,129.0913
중앙공원,101,69,32,68.31683168316832,2026-06-27 17:15:01,중구,충분,False,35.1114,129.0308
장전역,190,86,104,45.26315789473684,2026-06-27 17:15:01,금정구,충분,True,35.2381,129.0881
사상역 광장,0,0,90,0.0,2026-06-27 17:15:01,사상구,충분,True,35.1625,128.983
남산역,210,96,114,45.714285714285715,2026-06-27 17:15:01,금정구,충분,True,35.2651,129.0924
하단역,151,141,10,93.37748344370861,2026-06-27 17:15:01,사하구,충분,True,35.1061,128.9667
명륜역,185,91,94,49.18918918918919,2026-06-27 17:15:01,동래구,충분,True,35.2125,129.0796
동래역,400,400,0,100.0,2026-06-27 17:15:01,동래구,없음,True,35.2057,129.0784
해운대광장,164,164,0,100.0,2026-06-27 17:15:01,해운대구,없음,False,35.163,129.163
롯데 광복점 뒤(2),22,11,11,50.0,2026-06-27 17:15:01,중구,충분,False,35.0991,129.0362
반여2배수지,111,44,67,39.63963963963964,2026-06-27 17:15:01,해운대구,충분,False,35.1995,129.1221
요트경기장 앞 1구역,231,74,157,32.03463203463203,2026-06-27 17:15:01,해운대구,충분,True,35.162,129.138
삼락천로,124,39,85,31.451612903225808,2026-06-27 17:15:01,사상구,충분,False,35.1685,128.977
부전복개도로1,20,16,4,80.0,2026-06-27 17:15:01,부산진구,보통,False,35.1555,129.056
부전복개도로2,23,17,6,73.91304347826086,2026-06-27 17:15:01,부산진구,보통,False,35.157,129.0558
적십자회관,31,0,31,0.0,2026-06-27 17:15:01,부산진구,충분,False,35.1618,129.0622
대연고가밑,46,2,44,4.3478260869565215,2026-06-27 17:15:01,남구,충분,False,35.1375,129.0915
골드테마거리,16,16,0,100.0,2026-06-27 17:15:01,부산진구,없음,False,35.1402,129.0605
요트경기장 앞 2구역(대형),68,51,17,75.0,2026-06-27 17:15:01,해운대구,충분,False,35.161,129.1385
수안동주차빌딩,60,20,40,33.33333333333333,2026-06-27 17:15:01,동래구,충분,True,35.202,129.083
구남역,122,54,68,44.26229508196721,2026-06-27 17:15:01,사상구,충분,False,35.207,128.9984
만덕2동사앞복개,73,50,23,68.4931506849315,2026-06-27 17:15:01,북구,충분,False,35.2105,129.0302
